"pid","Date","NewRank","VS","Result","Tournament_Name"
"Dylan",17646,2271.86421526104,"Slow Dancer","Loss","SupportPriority3, Version 2"
"MD4",17646,2361.66623034081,"Kudaketa","Win","SupportPriority3, Version 2"
"Kudaketa",17646,2201.54569604989,"MD4","Loss","SupportPriority3, Version 2"
"Pandarian",17646,2772.96832643451,"Ro","Win","SupportPriority3, Version 2"
"Ro",17646,2303.89609159271,"Pandarian","Loss","SupportPriority3, Version 2"
"Mika",17646,2445.4485175371,"Qphex","Win","SupportPriority3, Version 2"
"Qphex",17646,2233.8866272809,"Mika","Loss","SupportPriority3, Version 2"
"Duwang",17646,2517.88861002421,"Nathan Pineapple","Win","SupportPriority3, Version 2"
"Nathan Pineapple",17646,2152.16908652668,"Duwang","Loss","SupportPriority3, Version 2"
"Gyromight",17646,2318.61546762998,"AQT","Win","SupportPriority3, Version 2"
"AQT",17646,2143.44811700965,"Gyromight","Loss","SupportPriority3, Version 2"
"Pokepen",17646,2633.89726822784,"Pokalink","Win","SupportPriority3, Version 2"
"Pokalink",17646,2390.66054831397,"Pokepen","Loss","SupportPriority3, Version 2"
"Slow Dancer",17646,2538.59549193515,"MD4","Win","SupportPriority3, Version 2"
"MD4",17646,2311.57856199422,"Slow Dancer","Loss","SupportPriority3, Version 2"
"Pandarian",17646,2795.54024786324,"Mika","Win","SupportPriority3, Version 2"
"Mika",17646,2424.95119644134,"Pandarian","Loss","SupportPriority3, Version 2"
"Duwang",17646,2551.72086510004,"Gyromight","Win","SupportPriority3, Version 2"
"Gyromight",17646,2277.08845214147,"Duwang","Loss","SupportPriority3, Version 2"
"Pokepen",17646,2668.71602820512,"Slow Dancer","Win","SupportPriority3, Version 2"
"Slow Dancer",17646,2497.18959444904,"Pokepen","Loss","SupportPriority3, Version 2"
"Pandarian",17646,2824.43187136947,"Duwang","Win","SupportPriority3, Version 2"
"Duwang",17646,2525.47006318825,"Pandarian","Loss","SupportPriority3, Version 2"
"Pandarian",17646,2860.20359396275,"Pokepen","Win","SupportPriority3, Version 2"
"Pokepen",17646,2642.40004406165,"Pandarian","Loss","SupportPriority3, Version 2"
"AZURE",17646,2199.401679385,"TamashaSmash","Win","SupportPriority3, Version 2"
